id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,29113,566534070222,1,611401099385,13402914522,29408,29101,-280.65834948396514,-0.95483,-5237415481.564087,-0.916,19458937.0,21000000.0,21000000.0,69045,-57.88087,2021-11-10T14:24:11.849Z,67.81,42786.72436,2013-07-06T00:00:00.000Z,,2023-08-16T09:57:22.653Z
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1821.53,218791302644,2,218791302644,6331698120,1842.75,1818.53,-20.37522307774725,-1.10621,-2389079858.399719,-1.08015,120139112.969494,120139112.969494,,4878.26,-62.68238,2021-11-10T14:24:19.604Z,0.432979,420347.94812,2015-10-20T00:00:00.000Z,"{'times': 82.65088223204627, 'currency': 'btc', 'percentage': 8265.088223204628}",2023-08-16T09:57:21.071Z
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.999111,83043591166,3,83043591166,18884903034,1.001,0.996782,0.00021629,0.02165,-280164940.46977234,-0.33624,83182001730.3693,83182001730.3693,,1.32,-24.53847,2018-07-24T00:00:00.000Z,0.572521,74.39149,2015-03-02T00:00:00.000Z,,2023-08-16T09:55:00.522Z
binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,233.55,35947506251,4,46728721927,481682475,239.33,233.64,-5.784240705429482,-2.41681,-845252806.2607346,-2.29733,153856150.0,153856150.0,200000000.0,686.31,-65.95032,2021-05-10T07:24:17.097Z,0.0398177,586787.77372,2017-10-19T00:00:00.000Z,,2023-08-16T09:57:28.335Z
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.596365,31541612720,5,59752292709,1697205026,0.627297,0.596803,-0.029534910466716306,-4.71879,-1522774732.5238266,-4.60548,52787284454.0,99988519823.0,100000000000.0,3.4,-82.41811,2018-01-07T00:00:00.000Z,0.00268621,22143.69701,2014-05-22T00:00:00.000Z,,2023-08-16T09:57:22.638Z
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.99957,26028494416,6,26028499511,3531726471,1.001,0.998887,-0.000582894110938148,-0.05828,43715969,0.16824,26030997809.389,26031002905.009,,1.17,-14.68244,2019-05-08T00:40:28.300Z,0.877647,14.00081,2023-03-11T08:02:13.981Z,,2023-08-16T09:57:21.225Z
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1820.3,14804119585,7,14805534309,23708729,1841.5,1817.06,-20.503167113839936,-1.11381,-138669962.80208397,-0.92801,8134886.13598974,8135663.52911985,8135663.52911985,4829.57,-62.32703,2021-11-10T14:40:47.256Z,482.9,276.77716,2020-12-22T04:08:21.854Z,,2023-08-16T09:57:18.064Z
dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.069894,9844510143,8,9844515043,566962273,0.074351,0.069954,-0.004457391972369385,-5.99507,-608141170.3298054,-5.81806,140611526383.705,140611596383.705,,0.731578,-90.43727,2021-05-08T05:08:23.458Z,8.69e-05,80401.52014,2015-05-06T00:00:00.000Z,,2023-08-16T09:57:21.000Z
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.276567,9698225062,9,12453127932,198053281,0.289517,0.276321,-0.012950728581577533,-4.47321,-440045810.456192,-4.34044,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.04722,2021-09-02T06:00:10.474Z,0.01925275,1335.45343,2020-03-13T02:22:55.044Z,,2023-08-16T09:57:28.426Z
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,23.31,9477064735,10,12948981478,477556951,25.01,23.26,-1.6947285904431304,-6.77741,-677647465.6165771,-6.67323,406273502.20139,555111545.840812,,259.96,-91.0494,2021-11-06T21:54:35.825Z,0.500801,4546.13603,2020-05-11T19:35:23.449Z,,2023-08-16T09:57:24.286Z
